V200001,V202205 - POST: Most important problems facing the country - mention 1 [text],V202207 - POST: Most important problems facing the country - mention 2 [text],V202209 - POST: Most important problems facing the country - mention 3 [text],V202211 - POST: Most important problems facing the country - most important [text]
215918,not consistent with covid restrictions and inforcing the restrictions,-9,-1,-1
215925,the coronavirus pandemic,the ecomeny and the black rights movement,education and crime,coronavirus
215949,communism socialist,covid effects on economy,censorship media bias,bias media censorship
215970,covid and oil consumption,-9,-1,-1
215987,"Coronavirus, Climate Changed, Division between people",Economic recovery,-9,Getting the Coronavirus under control
215994,-9,-1,-1,-1
216003,"current pandemic and the effect on the economy, immigration and health care",gay rights and civil unrest due to police and blacklivesmatter movement,-9,the pandemic and the effects on the economy
216010,economy food gasoline,population. to many of peiple not americans,racist most people,financial
216027,"Covid-19, Health Insurance, Global Warming, Economy, S.S. Benefits. Wages, Cost of living.","Covid-19,  Health Insurance, Economy, Global Warming",Poverty Homelessness due to economy,Covid-19
216058,"Moving towards socialism, that is will be ""voted"" in, not understanding that we will have to fight our way out of it. I feel there is a lot of hate towards Christians. It has become impossible to have civil conversations with people that have the opposite opinion, they become instantly hostile and accusatory.",-9,-1,-1
216065,Covid. Age of misinformation.,Racism and police.,Womens ability to access safe and affordable abortions.,Covid
216089,racism,classism,-9,racism
216096,-9,-1,-1,-1
216126,"COVID-19 - present government has done little beyond backing a vaccine. We must get that virus under control in order to tackle the other problems associated with unemployment, etc.","Unemployment - as a result of a poor covid-19 response. Then Immigration reform, policing and racism, climate change",-9,"Covid -19, right now"
216133,"Lack of Veteran support, racial tension, poverty, homeless, lying politicians, Covid19, Russia","Police reform, Children imprisoned at the border",-9,Cov19
216140,covid-19 pandemic,economic recession including student loan burden,"Useless healthcare expenditure with most of the money going through the insurance companies, low payout to family physicians, and high payout to CEOs and large corporations and hospitals. This is also why there are not enough family medicine and internal medicine doctors and the physicians are specializing because going to medical school results in huge student debt burden and they cannot afford to pay their loans!",COVID-19 pandemic
216157,ECONOMY EVERYTHING,GOVERMENTDON'T HELP THE PEOPLE,EDUCATIONEVERYTHING,ECONOMY
216164,People not getting along for no reason at all.,-9,-1,-1
216195,immigration is biased towards people of hispanic origin,"our elections have become corrupt. all eligible voters should be re verified. non citizens, dead citizens, and people voting more than once has ruined our valuable election process",non citizens receiving healthcare and welfare without contributing for their working lifetime.,election validity
216201,covid-19 and the money situations it has put everyone in,the fact that people dont think thst all lives matter and putting our pilice officers down,-9,covid-19
216218,the top 1% have too much wealth and the working class struggles and arent paid enough,-9,-1,-1
216225,-9,-1,-1,-1
216232,The coronavirus is the most important problem facing the country along with the problem addressing it so people can get back to living a healthy life,-9,-1,-1
216249,Social unrest due to polarized political views.  No one can discuss politics or state their opinion without being told their opinion is wrong.,"Economic stability.  Federal government spending is out of control.  Trillions of dollars are spent with no government accountability.  Appropriations and laws are passed which are over 1,500 pages each.  It is impossible for each government individual to review these in a timely manner yet they are passed based on which side of the aisle the bill came from not for its content.","Criminal justice reform, or lack thereof.  Too many persons are incarcerated for crimes which do not fit the penalty, costing billions of dollars.",Economic instability.
216263,covidemployment,healthcare is way too expensive,-9,covid
216270,"Climate change. If we don't reverse course now we are, quite literally, cooked.","Our alternate realities. Because we can't agree on facts and truths, we are extraordinarily divided, to the point of disdain for one another.","The economy. Because of our Covid and our poor response, our economy is in the gutter and millions of people are hurting.",Climate change. It's existential.
216287,The Virus  and the hatred between the political parties,The extreme poverty at the low end of our society,Extreme poverty at the low end of our society,The Virus
216300,disrespect for the police,COVID19,"People expecting ""entitlements"" because they don't want to work","People expecting ""entitlements"""
216317,-9,-1,-1,-1
216331,I think the fact that Trump still hasn't conceded is a pretty big one. This whole election just reeks of fascism and it feels like we're hurtling towards a coup and a dictatorship which is a horrifying concept.,The police are still not facing any consequences for their nearly constant discrimination towards BIPOC.,COVID-19 is only getting worse and it seems like no one in power has taken it seriously and people are dying.,Probably the fascism.
216355,covid pandemic,trumps refusal to concede,healthcare reform,covid pandemic
216362,"The division of the people in the country: city / country, rich / middle / poor, dem / republican, etc",coronavirus and it's impact on the economy and mental health,Systemic racism,division
216379,Division   Not handling the problems with cop shooting and killing Blacks.Not even working on the cases as quickly as I feel they should.Having a president who can do or say whatever he wants and nothing is done.No respect for the position he represent.,"Health Care, Education and jobs",Housing(affordable),Racial inequality
216386,Providing leadership in controlling and ending Covid 19,Racial tensions and police policy during a arrest,country needs to be united and not so angry toward one another,Controlling and ending the Covid 19
216393,"donald trump, divisiveness, pandemic, poverty/unemployment/widenjng gap between haves & have nots, environmental neglect",-9,-1,-1
216409,"Equal rights, political division, student loan debt, economy",-9,-1,-1
216416,Loss of academics. Kids missing so much school and learning time. Due to Covid19.,Everyone matters and should be treated fairly.,-9,People working for themselves and not together.
216423,"Racial inequality, access to safe drinking water, wild fire management, access to personal protection equipment during a pandemic, people not social distancing during a pandemic.",Access to affordable healthcare,access to affordable childcare,pandemic response
216430,"pandemic, racism, unity",political corruption and negotiations with other countries,fake news and false information,pandemic
216447,Disrespting the american people,-9,-1,-1
216461,Racism. Division.,Climate change,Maintaining covid,Division
216478,Corona Virus is one of problems in th whole world,police movement is off the hooks,more jobs for people who want labor,I think corona is single handley the biggest problem
216492,Poverity the poor people and lower class dont stand a chance. The rich get richer and the poor we just get poorer.,Feeding the children and the elderly.,No health care for veterns that fought for our country and our freedom. They need better benifits and healthcare.,Our veterens should be treated better than they have been.
216508,"Division, distrust in government officials, distrust in the news media and media bias, censorship of anything that doesn't fit the leftist agenda, our governing officials absolute refusal to work with each other (frankly throwing tantrums and acting like kids), no transparency, attacks on Christianity and the Police, pure hatred for anybody who doesn't agree with you. It's ridiculous.",-9,-1,-1
216515,covid pandemic is not being addressed properly,marijuana legalization,medical assistance,covid issues
216522,"cost of health care, media with an agenda, China",-9,-1,-1
216546,affordable healthcarewell-paying jobseffective educationincome inequalityunequal chances for a successful lifeprejudice and bigotry,covid 19 and its fallout,dishonesty and general crookedness in politics and business,healthcare
216553,Covid 19 and racism,Police brutality,-9,Covid 19
216560,Creeping fascism.,Availability of healthcare,Economy and jobs,Creeping fascism
216577,We are not free and I have no faith in our voting system.  It was fixed.,Hate and crime.,-9,lack of trust in our government and voting system
216584,Covid,Presidential Election,Media,Covid
216591,Immigration- Covid-19,-9,-1,-1
216607,"Structural inequality: race, economic, and social inequality that allows for capitalism and the two-party system to break apart similar groups and play them against each other","Individualism: Treating basic human needs such as food, shelter, healthcare as something that individuals should take care of for themselves instead of helping each other with those issues",-9,Structural inequality: we are currently in a late stage capitalism death spiral and issues around inequality are not addressed immediately we will be unable to address other issues such as climate change
216614,The economy and the corona virus,Failure of some to appreciate differences of opinion,-9,The economy
216621,"Lying, Con-man of a President; Black Lives Matter; Abortion Rights; Upcoming Election Problems; Corrupt Republican Politicians.",United States Debt; COVID-19 Issues.,-9,Black Lives Matter
216645,"Oppression. The race war, war on gays, rape, etc. We need much more work on equality in America",Class gap. The rich keep getting richer and the poor keep getting poorer,-9,Oppression
216652,"lack of equality, infringement on democracy, police brutality",-9,-1,-1
216669,economy,law and order lack of equality,-9,law and order
216690,COVID - the pandemic is out of control and needs to be managed on a federal level,Racism - the number of hate crimes has increased after Trump became president. He has also made racist comments and makes those who are racist think it is okay to show their racism and act on it.,-9,COVID
216706,lack of honesty in our political system,lack of patriotism,-9,political differences
216720,black lives matter movement and how it is feeding into Racism and dividing our country,-9,-1,-1
216737,"crime, unemployment",-9,-1,-1
216751,"liberals, socialism, lazy generations wanting stuff wothout working for it or using race as an excuse for life choices.",-9,-1,-1
216768,"inequality, having everyone not being treated fairly and justly",-9,-1,-1
216782,Trump is taking advantage of gullible Americans. He lies. He makes decisions that are only made for the betterment of himself. He is anti-democracy.,Covid-19 is running rampant throughout the country.,Untrustworthy politicians are running the country.,Trump as the leader of the United States.
216829,ECONOMY  JOB MARKET,COPD  ILLEGAL IMMIGRATION,-9,COPD
216836,Far left moving toward socialism and the national debt,Healthcare for the mentally ill (a large percent of the homeless population) Insurance companies need to be held to cover them.,America needs more job with salaries that are livable wages,The leaning toward socialism
216843,information bubbles,political polarization,Trump is destroying our nation,information bubbles
216850,-1,-1,-1,-1
216867,COVID. Economic impacts with unemployment. Small business not tied to big businesses. Racial unrest and inequality.,-9,-1,-1
216874,Republicans doing nothing over covid 19,Too many trump loyalist  in high stakes jobs,-9,covid19
216881,The divide that media is forcing people to believe.,Tensions with other countries.,-9,"internal divivide in areas, mainly high density areas."
216898,"GLOBAL WARMING, DEPRESSION",SCARED OF WAR- THE LAST 4 YEARS I FEEL OUR RELATIONS WITH OTHER COUNTRIES HAS BEEN BAD,-9,DEPRESSION
216904,"the virus, racism",-9,-1,-1
216911,trey sucks penis,trey likes dick in his ass,biden like dick,biden biden biden
216928,right now the pandemic because the numbers are going back up,-9,-1,-1
216935,COVID-19; misinformation and disinformation; partisan divide; the Supreme Court being used as a partisan tool,Healthcare; education; poverty,Climate change/global warming,COVID-19 and divide surrounding it
216942,covid. Help needed for testing so everyone can get it and it is free.,the economy needs help. wages should be higher.,-9,getting covid under control.
216973,RacismHonesty don't stand for truth.Corruption,Morals Justice we feel the system is corrupt. We have lost our way or maybe this is what this country is.,-9,A false Government no honesty or truth.
216997,"I believe the disrespect for law and order, or right from wrong, has changed our nation into a cheating society.",Taking God out of society is a big problem in a nation founded on “in God We Trust.”,"Race relations have been made worse by Black Lives Matter groups. You cannot wipe out history to make relations better. You learn from history. This past year of marches has put our nation backwards, as well as make lives of law abiding citizens harder. A nation cannot survive without law and order.",Uniting our Nation as one under God.
217013,"COVID pandemic - poor WH management, ineffective in getting resources out to the hospitals & doctors to assist sick people in this country which has create more financial hardships and unnecessary deaths","Unwarranted killing of black people, abandoning our agreements with our alliances, destruction of honesty and honor to protect ourselves and our democracy",-9,COVID19
217020,"COVID-19, student debt, economy",-9,-1,-1
217037,"Poverty, substance abuse, abuse by Big Business, lack of support and funding for public education",cant think of more,cant think of more,lack of funding for public education
217051,"The Pandemic and the economy. Take care of the first and the second will recover with the help of Americans, who want MORE....","Stop the campaign of hatred and fear espoused by the Trump administration. Stop the 3rd grade bullying, the law breaking and the cover ups of the corruption and constant lies.","24 Trillion dollars of debt and currently, 24 Trillion dollars of printed money given to Wall Street investment banks at ,04% interest.A false economy. Example being that it failed in DAYS.","Economy Crushing Debt. Being able to ""print"" your way out of bankruptcy doesn't mean that you are not broke. Financially and Morally."
217068,"COVID 19 by far, so many have died, so many more to follow. It makes me cry.",Climate change. This existential threat will cause many many times more deaths than COVID,"Congressional deadlock. We've been cast adrift with one oar in the water. In the years since Obamacare confronted many health care challenges, there's been zilch.","Congressional deadlock. If this were to break loose, we can start to confront the problems."
217075,"If I can name only one, it has to be the pandemic.",Maintaining uur democracy,Wealth Disparity,The pandemic
217082,Agreement on facts and truth,Carbon emissions contributing to climate change,Structural Racism,Agreement on facts and truth
217105,Racial equality injustice,Failure to combat the coronavirus pandemic,Adequate response to climate change,Racial equality injustice
217129,The democratic party has bashed our President from day one.  He was never given a chance.  He was never shown any respect.  They were against anything he stood for.  They were against anything immoral.,Racism caused by former President Obama.,Allowing illegals to enter the country.  They are given more benefits than Americans.  They will ruin the Social Security system for all Americans.  They are draining funds for health care while Americans are doing without health care.  They receive so much FREE and our military who have fought for this country hardly receive anything from this country.,Illegals entering the country
217136,"Human right, women and people of LGBTQIA+ should not live under constant threat of losing rights.",Climate changecivil unrestlying Everything is money related,-9,Human rights
217143,division racial and political division is out of hand and being made worse by the media,economic shutdowns over an illness that is being over done again by the media,lack of quality education especiall this year,division
217150,Covid is killing people,-9,-1,-1
217174,pandemic - COVID 19 issueRacism - Too much seperation and ideas of each race,Education - Kids dont all have access to a quality education,tough economy because of the pandemic,Pandemic
217198,"COVID 19We need to make masks, vaccines, and social distancing a major priority. We need to support schools in safety protocols.",-9,-1,-1
217204,racial issues,economy,Jobs,race relations
217211,Hatred  between sides,"Economy, hit by the pandemicCOVID - uncertainty, getting back to life",-9,Hatred
217228,Racial tensions and divide.Two party system needs to be replaced.,-9,-1,-1
217242,-9,-1,-1,-1
217259,getting along with people who have different views from yourself,the government madatong news laws and its’ citizens obeying without question,i cqnnot think of qnything else at this time,unity among its different peoples
217266,"Pandemic and, up until now, the very poor control and lives lost. Also the magical thinking that it can't happen here or to me.",Recession-depression. The need to shut down business and schools to prevent spread of the disease.,Anger resulting from race problems and loss of jobs that have been phased out.,Pandemic
217280,The division that the Trump  presidency has caused in dividing our country,division of christians caused by this administration,the violence that has been supported by Trump,All that is mentioned
217297,A pedophile and a whore running for office and rigging an election,People that feel entitled and want to ride on the coat tails of the people that work.,rioting when democrats don't get their way,Biden
217303,racial inequality and our enviroment,-9,-1,-1
217334,debteconomyforeign threatscovid,-9,-1,-1
217358,I believe the political divide in this country is a huge problem.  I also think that mainstream media is partially to blame for that divide.,I think the hate for law enforcement is a huge issue.  Social Media is a huge problem (i know there is nothing to be done but it is a huge problem),Too many to list,Political Divide and Hate
217365,access to healthcare for everyone regardless of income,quality eduction k-12 that is student centered and not test centered and afforable college or trade school options. without a healthy education population we have nothing,"climate change, renewable energy, and our status amongst our allies","education. if we are all educated we will take better care of ourselves and others, be healthier, able to work provide for our families and take care of the earth"
217389,"Unity as Americans, what are ideals our",political and governmental corruption,"Economy, we should not rely on other counties",Unity
217396,"COVID  Need to stop the spread of the virus by mandating the rules..Wear masks, no large crowds and enhance the research for a vaccine.","Global Warming.  Very important to address climate change, water issues, and pollution of all kinds.",The economy.  Get people back to work.  keep stock market strong and keep taxes low for middle and lower class.  Do not punish upper middle class with higher taxes.. They are the spenders who can keep the economy going.,The virus
217419,"The Socialist movement, and animosity encouraged between various groups of people that have been rallied to violence by an exaggerated sense of entitlement fostered by the Democrats.","The overall LACK OF RESPECT for others, whether they are your neighbor, someone in authority, or government official.",-9,Socialism
217426,Covid-19,-9,-1,-1
217433,"nancy pelosi, and AOC",nancy pelosi and AOC,nancy pelosi and AOC,nancy pelosi
217471,Racism. Covid19,-9,-1,-1
217488,discrimination,climate change,handling of epidemics by certain prominent government officials,climate change
217495,"Elections have become either ""which one is the better or two evils"" or writing in ""Mickey Mouse,"" making me very disappointed in the country and the people running it.",Stupid people voting worse people to run the country.,Stupid people are electing stupid people to run the country.,Stupid people are electing stupid people to run the country.
217501,Devision; lack of compromise; far to polarized,The immediate/ short term threat of Covid - 19. The next there to four months and at it's current infection rate the capacity of the US healthcare to handle it. And aweful deaths as a consequence.,Economic recession/depression as a result of COVID - 19 lockdowns. Particularly unemployment and significant damage to industries.,"The devision; without solving this issue we will never be able to fully tackle the other issues and reach our full potential. However, maybe we unite by working towards solving the covid and economic crisis's."
217532,extremely divided on views and beliefsillegal immigrationhealth carefederal budget,-9,-1,-1
217549,Corona Virus pandemicRace issuesnatural disasters,-9,-1,-1
217556,pandemic. is out of control,use of guns need better gun control,unemployment is to higj,andemic
217563,disparity among the different races.,"Disgruntled people causing damages to buildings, homes, businesses and not being held responsible or punished because they are part of a ""group""","No term limit on our congressional seats, and that they get paid for life.",Angry people destroying our country.
217617,"Donald Trump, his corruption, attempts to dismantle democracy, firing up his rabid base, and his republican lapdogs.",The Coronavirus pandemic and its implications for our already broken healthcare system.,Right wing extremist SCOTUS and the stacking of lower courts with unqualified but loyal right wing extemists.,At this moment in time Donald Trump. Right wing extremist SCOTUS will be a problem for at least a generation.
217624,"Black Lives Matter, welfare programs, Antifa, divided country.",-9,-1,-1
217631,"Cheating and fake news, cheating in the election, media - who's buying the media to control it to their advantage?, our fiscal economy for middle-class workers, illegal immigration, Speaker of the House cheating and disrespect by her and her followers, getting more citizens off welfare and required to work for those able, monitor welfare, stop robbing social security, and more",-9,-1,-1
217648,Freedoms-constitutional rights possibly being taken or tried to be taken.,Job loss due and Americans struggling to work due to the pandemic.,-9,Our freedoms trying to be taken.
217655,refusal to work together to reunite the country.,systematic racism,Corona Virus,corona virus
217662,covid outbreak-finding vaccine,"violence- the constant speeches the president gives and tweets that divide people, that are biased and ugly and are meant to cause divisiveness instead of being diplomatic.",-9,covid
217679,Division and hatred,COVID Pandemic,systemic racism,Hatred and individualism
217709,"Abortion, people who want handouts rather than work and not settle on handouts.",I am an [REDACTED DETAILS] and worked and became an asset to the country rather than a liability only depending on handouts.,Division and if you want to raise your opinion why do you have to loot and burn. So sad that there is no civility on the other party.,Wanting to inject socialism in the country.
217730,falta de trabajos,la economia pequenos negocios la gente no tiene dinero para gastos la gasolina,-9,-9
217747,racism and poltic,nothing to disagre with,-9,no moee
217754,"COVID-19 is a big problem in America, the way people are divided due to political stances is another problem.",Lack of funding for schooling.,Police Brutality.,COVID-19
217761,"Covid, racism and bigotry, our president and leaders, people not willing to do their share.",The division in our country.,-9,"At this point in time, Covid and the lack of leadership in dealing with this. Also, the lack of responsibility by several by not following the CDC guidelines. Their refusal to do their part in fighting the pandemic is what is keeping it from growing increasingly worse, and costing lives."
217785,"Covid19 has killed 250,000 people in America.",Donald Trump is a plague on the our country worse than the corona virus.,Gerrymandering of the legislative districts on the state and the national level.,Trump
217792,COVID-19 misinformation,Distrust of law enforcement,Wealth gap widening,COVID-19 misinformation and getting the spread under control
217808,covid 19corruption in govetnment lies by journslists,-9,-1,-1
217815,President was elected and controlled by Russians for last 4 years.  The Russian president currently has him destroying everything about the USA that makes it what it is.,President not leading on covid,-9,Russia
217822,"Racism, oppression to people of color, Gun violence, Poverty, Human Rights, Gay rights, Transgender rights, Equal rights, a clear rift between parties, Narcotic drug abuse.",The of action & response to control the spread of corona virus. As well as the lack support to science or vaccines to conrol the corona virus.,Not any more than I have listed at this time,I honestly dont know if I could give one answer. There is so much that needs attention & matters.
217839,"The gap between the mega rich and people in poverty is insane. We need to shrink the gap. Improve healthcare, tax the rich, and make big businesses take steps to lower their carbon footprint.",-9,-1,-1
217846,COVID-19 AND THE RIOTING,-9,-1,-1
217853,covidjobssocialismpatriotism or lack of,immigration has gotten out of control. Illegals crossing the boarder. giving them free everything when we have veterans sleeping on the streets,"veterans.Veterans arent being helped in any way. They need housing, medical care and respect for their sacrifices for this country.","Right now, covid. People are tired of being lied to and pushed to do unreasonable things. Things that have been proven not to help."
217860,"human rights ,gun control ,corona virus capitalism","immigration, freedom to choose abortion,",-9,corona virus most urgent
217877,"covid cases that are putting people not able to work and not have any type of money to back them up, the government is not helping the people in need. Racism is really bad and someone should speak up for it and police brutality.",-9,-1,-1
217891,"rise of socialism, pandemic over reaction, small business being crushed","cancel culture, reverse racism","china, media biased, fake news",rise of socialism
217914,PandemicRacial inequality and injusticevery split population in regards to social issues and health decisions,Crippling debtLack of workershealth care for homelessMental health resources,-9,Pandemic
217938,Covid-19; Economy; Climate; Health Care; Education; Homelessness,-9,-1,-1
217945,racism,economic equality,policing while dealing with Blacks,Racism
217952,Politicians in general,Imigration & Taxes,-9,Working together to find solutions
217969,covid 19 and we need our second stimulus that was promised to us,illegal immigrants,corona virus,corona virus
217976,"Immigration, over spending, TAXES, my home taxes have gone up 300%+ in 25 years",In NJ our governor is giving college and drivers licenses to illegals. Why do I have to pay for them. I paid for [REDACTED DETAILS]. Too much given away free to illegals.,Illegals getting so much free help. I have a disabled [REDACTED RELATIONSHIP] with many medical problems and [REDACTED RELATIONSHIP] has bills in collections that [REDACTED RELATIONSHIP] cannot pay. [REDACTED RELATIONSHIP] insurance will not cover 20% and the medical offices will not write it off.,Illegals that the middle class is supporting without OUR authorization. Why can a governor just decide on his own to give away so much.
217983,Civil unrest. Lack of support for police.,-9,-1,-1
217990,"Apostasy, which has caused the destruction and deterioration of every area of public and private life.",-9,-1,-1
218016,that are to many to list,-9,-1,-1
218023,i dont know i dont know i dont know i dont know  i dont know i dont know i dont know i dont know,i dont know i dont know i dont know i dont knowv,-9,-9
218030,covid19 and bullying,-9,-1,-1
218047,"At this time, We do not have any leadership in the White House.",-9,-1,-1
218054,"Pandemic, unemployment & health care",illegal immigration,-9,Pandemic
218061,COVID-19,Financial crisis,Not at the moment,"COVID-19, right now"
218078,that there is alot of police brutality,the rapist in this world,-9,police brutality
218085,People will not listen to each other and they just want to fight and win,Meanness!! no one will listen to each other and everyone gets defensive fast.  We have got to get the Covid under control too,Covid- We have got to put more money towards research and make people wear mask.,Everyone is mad and will not listen. we need a calm leader that does not feed off of the negative.
218092,people without jobs,getting rid of covid,the people against law enforcement,law enforcement support
218108,Mental health - there is no funding for the amount of help people need. Wage disparities make it impossible for low income families to get mental health issues addressed.,"Education - we spend a miniscule amount of money on education! They nickle and dime schools far too much. Teachers should be paid 30% more than they make now, and that's just to start. The cost of college is out of control and more students are graduating with a mountain of debt before they can even live on their own as adults.",Gun control - Mass shootings. It's a heavy burden to bear knowing you could control murders and you do nothing about it. Our government doesnt give a shit about people dying unnecessarily.,Mental Health
218122,"I think the government allows multinational companies to have too much freedom in how they compensate and treat their employees.  It seem that companies used to foster a culture that cared more about their workers and their families.  Today the employee is only as good as the amount profit associated with their ability to do their position.  Multinationals can exact resources from the US and then move on with little to no penalty.  USA's moto: Feed Wall Street!  Instead of insuring that the richest country in the world can feed and keep healthy the citizens of the USA.   Elizabeth Warren seems to have a clear understanding of how we have allowed big corporations to change the laws to their benefit.  I would back anyone who had a logical plan to swing the pendulum back towards the citizens. I see Germany, Denmark, and New Zealand as examples of how a government should work for their citizens. Our politicians should have a global point of view and look outside of the US for these examples. I am not suggesting we adopted all of their practices but certainly they provide insight on how we could improve.",Greater funding of a education focused not just on improving critical thinking but in caring about what happens outside the borders of the United States of America!  In talking with those who seem most aligned with President Trump the biggest thing that sticks out is their complete misunderstanding of how worldly the globe has become.  The internet has broken down walls of communication with other parts of the world but many people are only comfortable with sticking to their group of Facebook friends.,We could all use more love and less hate!,Letting multinational companies (financial corporations included) run the country.
218139,corona 19....uninpolyment ...president handeling of trouble...sad...,helping to feed out ofwork familys,overseas affers...china...russa..middle east...,corona 19
218146,"hatred: racial hatred, lack of empathy, not looking out for each other economically or health wise","climate change: making no moves toward slowing this down, seeing fires and massive weather changes that are immediately dangerous",wealth gap: huge growing gap between the wealthy and poor that is growing and not able to be tackled by individuals,"hatred, because I think hatred underlies many of these"
218160,covid 19 should have mask wearing required until there is a vaccine,illegal immigrants coming across border,unemployment numbers need to come down,the covid 19 virus
218177,covid 19. People die from this disease,people are over divided based on thier politics,-9,Covid19
218184,COVA 19  EVERYTHING IN GENERAL  EVERYTHING LOOKS BAD  HOPE THINGS GET BACK TO NORMAL SURE HOPE SO::,can`t think right now.,not sure.,finding a cure for all the illness with COVA19.
218207,Covid and people not taking it seriously   People not standing up for police officers,Elections results being questioned.,Lack of empathy. All about me.,Division among our people
218221,The recent pandemic that's causing a strain on our health system and negative economic impact,"Systemic racism, police brutality",Poor public education and the burden of student loans,The recent pandemic
218238,Divisive leadership from our President... is driving us to literally kill each other.,-9,-1,-1
218245,politicians have got to much power. They don’t really vote in favor of the people.,we need term limits,-9,having term limits and getting rid of lobbiest.
218252,Employment equity.,Encourage educational importance and successes.,Teach the importance of critical thinking with real life examples.,Critical thinking including consequential decision making.
218283,Covid-19 lack of funds to help Americans,economy is lacking (businesses closing),Immigration reconnecting children with their parents,Covid-19
218290,Covid 19. it is the biggest problem in the co3,they have  Ignore the problem as if it doesn't exist,-9,Covid 19
218306,1. advocating for the life of unborn babies2. protecting the lives of black people from police brutality3. protecting the lives of children at the border4. fair reporting rather than sensational/opinion based reporting from major news networks5. protecting our environment from harmful destruction,-9,-1,-1
218313,The division in our country between races.,Immigration policies,-9,Division between races
218320,"COVID-19,UNEMPLOYMENT,BLACK ON BLACK CRIME","NAAFFORDABLE HOUSING,HOMELESSNESS",YOUTH PROGRAMS,AFFORDABLE HOUSING
218337,Covid unemp!oyment,Unemp!oyment businesses going out of businss,-9,Covid
218344,-9,-1,-1,-1
218368,"division, our country is full of division, we no longer are kind humans, we are hateful towards someone just because they don't have the same beliefs. It is all because of OBAMA!!!! He ruined our nation as a whole!!","the swamp, congress, need term limits",-9,"the dishonest politicians, until they are gone, we will suffer as a nation."
218375,I’m worried that we are heading into becoming a socialistic country,I’m worried that our economy is going to get worse with the new administration.,-9,socialism
218382,socialism. covid. economy. division,-9,-1,-1
218405,Race relations and Lifetime Politicians,Illegal Imigration,-9,Race relations
218412,corona virus is killing americans and our econimy,-9,-1,-1
218429,Too many people believing what they read on the internet or social media to be truth and not researching/investigating a topic further.,-9,-1,-1
218436,maintaining our constructional representative democracy and avoiding socialism at all costs.,bring manufacturing back to our country. we need to make what we consume. remain energy independent. reduce the national debt.,election fraud.,maintaining our constitutional guarenteed freedoms.
218443,law and order needs to be enforced,fraud in government,illegal immigrants,need to have law and order
218450,"Covid, this needs to go away and we need to wear our masks, social distance and stay home","Racism, poverty, homeless ness.",-9,The covid crisis. Its getting worse and the current President is doing nothing about it.
218467,I feel like the US has split opinions on most important topics and we do not have leadership to bring everyone together and foster conversations. I also feel that America is gladly celebrating a lack of education and research. I also feel like our news sources have become a place of opinion and not fact. 24/7 news should NOT be thing. Filling the void with opinions shrouded as facts is hurting our nation deeply.,Police brutality and a lack of empathy from our leadership towards POC.,-9,It might sound insane but news sources who utilize their platform to divide the country. We can not continue as the United States if we aren't united.
218474,The government over reaching and shutting down business's without due compensation.,"Lack of journalistic integrity. The ""Mainstream"" News is just opinion hours with panels to speculate on speculation. doesn't contribute anything worth while to the national dialogue and divides the country more and more EVERY Day.",-9,Government over reach related to covid 19.
218481,"Illegals - what doesn't the government understand about the word ""illegal?""  They should not be getting benefits or taking jobs from the American people.","Too much money spent on the political campaigns - billions - there should be a limit on spending to endorse a candidate. Individuals are trying to ""buy"" their way into running the country.  Radicals like George Soros are promoting riots and destruction of property by paying people to protest in cities across the country.",Defunding police departments!!! Who are you going to call when you need help?,All of these problems have divided the country - too much unrest and killings.
218504,Belief in Christian values,"Keeping our rights in the constitution. The right to bear arms.  Giving Police the authority to arrest people who are rioting by destroying property. Not legalizing abortion, its murder",I meant repulican party on the past two questions when it asked who would be most likely to change it  but could not go back to change them.,unity of the people across the country
218511,media biasbig tech has too much powercancel culture,-9,-1,-1
218528,Loss of jobs or lowered income due to COVID.,"Divisiness throughout the country.  Generally speaking, no one wants to work together to find compromise.  Everyone thinks they are ""right"", & no one is willing to concede.","Equality issues.  Race, sex, & sexual orientation.",jobs...income
218535,A lack of agreement on what is fact and truth. splintering of media into personalized echo chambers.,lack of empathy and civility. racism and sexism. outright disdain for science by half of the electorate.,-9,splintering of media and distortion of facts and truth.
218542,-1,-1,-1,-1
218559,High taxes on the working class.,Government general response to Covid-19.,"If Biden winds up winning after the recounts, foreign relations.",High taxes on the working class.
218573,ignorance of science and critical thinking,health care access and costs,police corruption,critical thinking
218597,Coronavirus. Economy,-9,-1,-1
218603,"Socialisim, government control over America's people.",Election integrity.,Corruption in government.,Corruption in government
218610,-9,-1,-1,-1
218627,Covid-19 virus control and the politicalization of public health issues.,Climate change and global warming.,"Racial equality in governmental service, justice, and opportunity.",Control of covid-19 and the politicalization public health issues.
218658,besides covid its poverty and racism,taxes are too high,-9,at the moment its covid then racism right behind it
218672,the coronavirus,no i cant think of anymore problems,no i cany think of anything else,i dont even know
218696,election fraud moving towards a socialist country,satanism is spreading throughout these countries leaders,yes congress and the house of representatives have failed the american people during this pandemic.,satanism throughout the countrys leaders.
218733,politization of the pandemic resulting in tens of thousands of americans dying,need for affordable health care and the current administration’s efforts to prevent it,income inequality and current administration’s inaction to address this,pandemic
218740,"systemic racism, pollution, economy, gentrfication",-9,-1,-1
218757,congress and all the discord.,economy and democratic control,keeping Pelosi in office,socialist values
218764,"Division, Red/Blue Rich/poor","c-19 is rampant, 300K",Unfair treatment of people of color.,c-19
