name,path,,age,belief.in.god,condition_number,contribution,correct.crt.answers,country.of.residence..232.us.,datelastaction,datestarted,decision.time,education,failed.comprehension,faith_in_int,female,how.much.do.you.trust.people.in.your.life,id,income,intuitive.crt.answers,ipaddress,length.of.priming.paragraph,need_for_cog,normalized.contribution,obeyed.time.constraint...1.if.from.condition.without.time.constraint.,physical.lab,prediction.of.others.mean.contribution,previous.experience.w.econ.games..1.none.,primed.for.intuition,primed.for.reflection,priming.paragraph,risk.taking,social.risk.taking,strategy.description,time.delay,time.pressure,time.reading.instructions,time_pred,txtorg_id,us.resident,what.cont.maximizes.group.payoff,what.cont.maximizes.your.payoff
,,215,57,6,10,0,1,232,4/25/12 19:48,4/25/12 19:35,8,4,1,6,0,5,1269,5,1,75.151.195.226,8,7.4,0,0,0,na,1,1,0,"i once needed my car repaired i went to a repair shop and got an estimate. the owner gave me a low price. his workshop looked sloppy, however. i suspected he might do a sloppy repair. i left the shop and went home. late i looked at his better",7,2.9,i believe that contributing zero gave me the best chance since i did not think that everyone else would contribute their .40,0,0,74,na,4d044bb4-7591-11e2-89cc-88532e617cea,1,38,40
,,216,18,1,10,40,3,38,4/23/12 20:51,4/23/12 20:42,10,4,0,4.5,1,3,428,2,0,99.248.47.207,8,7.7,1,0,0,na,5,1,0,"i had no idea what to do last year, when i was applying to university. i knew i wanted to do something to do with math and science, but not sure what. based on my first instinct, i decided to enroll in a chemical engineering program. it's been",7,3.5,"if everyone thought logically (i.e. like me), that would be the best for the group.",0,0,40,na,4d0468ba-7591-11e2-89cc-88532e617cea,0,40,0
,,217,19,8,10,40,2,232,4/26/12 3:02,4/26/12 2:52,7,4,0,8,0,9,1428,3,1,108.66.238.130,9,9.5,1,0,0,na,1,1,0,"very recently, i spontaneously decided to start looking for a new job. i was getting tired of my old job as a fast food cook, terrible work, but its a college job. for some reason my gut just told me to start looking for work a couple days ago.",5,3.8,i trusted that the others would see the benefit of donating to the whole so that we could all get further.,0,0,46,na,4d0484c6-7591-11e2-89cc-88532e617cea,1,40,0
,,218,28,1,10,0,0,180,4/26/12 0:02,4/25/12 23:41,8,6,1,4.6,0,2,1342,1,2,188.25.194.65,8,6,0,0,0,na,1,1,0,it was six years ago when i was still a student in the third year. i stumbled across an professor who offered me an offer as an intern in the laboratory he was associated with. it didn't look good - the professor had a bad fame among the studen,4,3.2,it was based on the fact that it seemed to have the smallest risk of all.,0,0,80,na,4d04a5be-7591-11e2-89cc-88532e617cea,0,40,40
,,219,49,10,10,40,3,232,4/24/12 21:09,4/24/12 20:54,32,4,0,7.7,1,8,939,4,0,174.60.72.168,10,7.9,1,0,0,na,3,1,0,"i am thinking about a time when i was applying for a job in an area that i was planning to move to.  i interviewed at three different places, and luckily received job invitations at all three places (obviously this was when the job market was m",3,4,"i thought it would be best for everyone to contribute the maximum, as hopefully more people would benefit from my actions, and i hope they did the same.",0,0,112,na,4d04c242-7591-11e2-89cc-88532e617cea,1,40,0
,,220,30,10,10,0,3,232,4/23/12 18:03,4/23/12 17:46,10,5,0,5.8,1,7,314,4,0,72.152.108.38,13,7.4,0,0,0,na,1,1,0,"about two years ago i took a job that i was offered doing some freelance writing for a local company. i was really excited about it because the pay was really good and the job was decent compared to previous work i've done. in the beginning, my",5,3.4,"i wanted to make the most amount of money possible, and it seemed like a no-brainer. i assumed everyone else would do the same.",0,0,74,na,4d04e060-7591-11e2-89cc-88532e617cea,1,40,0
,,221,36,6,10,40,3,13,4/27/12 3:43,4/27/12 3:34,6,3,0,8.1,1,8,1818,10,0,144.140.22.4,9,7.2,1,0,0,na,3,1,0,"when i first met my now husband, my mum became ill with cancer. i was worried she would never see any grandchildren. we made the decision to try and fall pregnant before we were married. we were already engaged. we did fall pregnant straight aw",3,2.3,i thought it would be nice to all share in the same amount.,0,0,43,na,4d0544a6-7591-11e2-89cc-88532e617cea,0,40,0
,,222,25,10,10,40,3,177,4/25/12 18:47,4/25/12 18:14,8,5,1,7.9,1,5,1242,3,0,206.248.104.208,8,8.4,1,0,0,na,1,1,0,some time ago i was looking for for a job. months passed and i did not find anything. then i received two job offers. both was similar but i did not know what to do. i choose the first one and i followed my intuition. i choose the right one bec,11,2.5,i believe in god because he changes my life.,0,0,690,na,4d058d08-7591-11e2-89cc-88532e617cea,0,40,40
,,223,25,10,10,0,1,166,4/26/12 7:31,4/26/12 7:13,na,6,1,6.2,0,3,1507,1,2,110.36.241.18,9,7.6,0,0,0,na,3,1,0,"the first institution which means lot for me, was my graduate college. i was a medical student when i was in intermediate. but in graduation i chooses b.com. by admitting in that college i not only survive to secure a good grade, my capacity bu",10,2.9,gutt feelings!!,0,0,25,na,4d05bf94-7591-11e2-89cc-88532e617cea,0,18,18
,,224,29,1,10,0,2,232,4/25/12 18:48,4/25/12 18:24,10,5,0,3.7,0,6,1249,3,1,99.44.180.57,9,8.200001,0,0,0,na,1,1,0,"not to be mean, but this question is really open ended and writing it to your satisfaction could take more than 10 minutes by itself. not a good way to open the survey. at any rate, let me attempt an answer. (i really am lost on how to answer t",5,3.9,"i figured everyone else would choose to keep it, so i decided 40 was better than 20. even if two people gave it all, that'd still only be forty cents for the group. i guess what it really comes down to is that i didn't want to gamble 40 cents a",0,0,130,na,4d05dc2c-7591-11e2-89cc-88532e617cea,1,40,0
,,225,24,1,10,40,2,232,4/25/12 3:33,4/25/12 3:21,4,5,0,6,0,10,1045,4,1,24.10.69.69,9,10,1,0,0,na,3,1,0,"honesty can be difficult at times and once we have been dishonest it can be so much more difficult to come clean afterwards. with my current girlfriend, a discussion sparked up asking incredibly touchy information. i wanted to lie about it and",11,4.6,i think it would be unfair to the other participants for me to be greedy. it works out in the interest of everyone if you are a bit selfless.,0,0,62,na,4d05fe50-7591-11e2-89cc-88532e617cea,1,40,0
,,226,53,10,10,40,0,232,4/26/12 17:31,4/26/12 17:14,8,4,0,5.7,1,8,1656,4,3,74.199.50.183,9,8.299999,1,0,0,na,3,1,0,i was mowing my front lawn back in the mid 1990s. i was about halfway done. all of a sudden i thought i had better stop and leave the front yard. i dont even know why i did cuz it flew in the face of everything that i normally do. i never leave,6,2.4,outcome for myself,0,0,89,na,4d062344-7591-11e2-89cc-88532e617cea,1,40,0
,,227,29,5,10,40,1,232,4/25/12 15:04,4/25/12 14:54,10,5,0,7.2,1,4,1168,4,2,206.105.198.239,8,7.5,1,0,0,na,1,1,0,"the one time that clearly sticks out to me where i was foriced to rely on my instinct was when i became unhappy in my last job. at the time, i was working full-time for a privately held company. i did not like my boss and did not believe in the",6,3,i relied on my instinct.,0,0,74,na,4d064126-7591-11e2-89cc-88532e617cea,1,40,0
,,228,26,10,10,40,0,232,4/24/12 19:41,4/24/12 19:24,7,4,0,7.3,1,2,920,10,2,68.113.197.155,11,9.299999,1,0,0,na,1,1,0,"before anyone else, sometimes even yourself. after several of these so called tests i realized this  crowd was nothing more than a group of bullies. a friend of mine who had also been wanting to get into the crowd didn't care that these people",8,4,"it is not something i would have picked several years ago. however, when you go through the mud and you reach the lowest part in your life something has to give. you have to believe there is something greater than just you or i.",0,0,55,na,4d065f1c-7591-11e2-89cc-88532e617cea,1,40,0
,,229,25,10,10,10,0,233,4/24/12 6:41,4/24/12 6:22,19,5,1,6.8,1,7,681,6,1,12.201.254.229,8,7.1,0.25,0,0,na,2,1,0,i decided to quit my job that i was being underpaid for. i worked hard to find another job. it didnt take long within a month i got the job interview. i was hired within another month and i was able to negotiate my salary for more pay. everythi,7,3.7,i chose by what amount i thought naturally made sense.,0,0,211,na,4d068154-7591-11e2-89cc-88532e617cea,0,40,20
,,230,34,1,10,40,0,38,4/26/12 17:34,4/26/12 17:21,11,4,0,9.5,1,9,1661,5,3,70.66.44.144,9,5.6,1,0,0,na,1,1,0,i was searching for a new job and was down on my luck. my uncle had recently passed away and always told me to apply to work for the city that i live in. i had an angel pin that his wife had given me at his funeral and i put it on my purse on a,9,2.1,i would like to see everyone get as much of a bonus as possible and trust that everyone would think that way.,0,0,73,na,4d06a0da-7591-11e2-89cc-88532e617cea,0,40,0
,,231,26,10,10,0,0,232,4/25/12 23:41,4/25/12 23:23,4,5,1,7.6,0,6,1328,4,3,98.213.164.47,8,9.8,0,0,0,na,2,1,0,i was recently in the market for a new car. i found an older greek gentleman who was selling his 2001 honda civic. it is always a coin-toss whether or not you can trust the person sell a car. he told me he had only driven the car back and forth,8,3.5,i assumed the others would not read the description fully thus when they both donated and i didn't i would get the larger bonus.,0,0,67,na,4d06bf98-7591-11e2-89cc-88532e617cea,1,0,0
,,232,23,10,10,10,0,232,4/27/12 8:23,4/27/12 8:02,25,4,0,9,0,10,1847,1,3,75.80.18.193,9,7.3,0.25,0,0,na,1,1,0,i had a small stomach pain on the right side of my stomach. it was faintly hurting for a while before the pain increased. my first thought was i hope i won't have to go to the hospital. i began to sit there a little longer to try and bear the p,8,3.6,i believe that it was fair to give a portion than just to keep it all for myself.,0,0,80,na,4d06dca8-7591-11e2-89cc-88532e617cea,1,40,0
,,233,42,1,10,0,3,232,4/25/12 16:41,4/25/12 16:24,10,5,0,7.6,0,3,1209,7,0,71.75.93.115,8,10,0,0,0,na,3,1,0,when i was in highschool and apply to colleges everyone told me to apply to many schools.  my first instinct was to only apply to unc.  it was the only school that i thought that i wanted to go to.  in the end i just applied there for early adm,1,4.1,i kept my money hoping that i would get the most.  i wasnt worried about people that i dont know.,0,0,55,na,4d06fad0-7591-11e2-89cc-88532e617cea,1,40,0
,,234,31,8,10,20,0,232,4/23/12 22:02,4/23/12 21:53,9,5,0,6.9,1,6,456,9,3,68.81.175.93,9,7.5,0.5,0,0,na,2,1,0,"once when i was young, i was out with a large group of friends. it was summer and we were all really bored and couldn't find anything to do. our parents were all at work and were we on our own. one of the kids had the bright idea to go back to",6,3,it seemed logical to keep half of my portion and give up the other half. if everyone did this we would all earn more,0,0,95,na,4d07189e-7591-11e2-89cc-88532e617cea,1,40,0
,,235,22,1,10,40,0,232,4/25/12 23:06,4/25/12 22:56,4,4,0,4,0,3,1317,5,3,74.197.171.30,8,9.4,1,0,0,na,1,1,0,"attending sam houston state university was something i decided solely by instinct/intuition. when i was looking through universities in texas, it appeared to be perfect for my needs. it's relatively inexpensive (compared to other universities).",1,3.2,"despite my general lack of faith in people, i still hope that everyone in the study will decide to contributes the entire amount, so everyone will benefit equally.",0,0,41,na,4d073798-7591-11e2-89cc-88532e617cea,1,40,0
,,236,27,7,10,40,1,232,4/24/12 6:13,4/24/12 5:59,6,5,0,7.4,0,7,669,5,2,65.128.240.197,8,6.2,1,0,0,na,2,1,0,i have always been a fan of the musician peter gabriel and about 10 years ago he was going to be playing a concert where i lived. me and my friends bought tickets and on the day of the concert we went downtown early to make a full day of it. wh,7,2.9,i thought that i would like to do what is the 'best' possible outcome for the group and hope that my other participant partners will end up doing the same so we can get the best results.,0,0,35,na,4d075570-7591-11e2-89cc-88532e617cea,1,40,0
,,237,55,3,10,40,2,232,4/23/12 18:44,4/23/12 18:37,7,5,0,5.7,1,6,353,8,1,98.245.11.144,8,7.9,1,0,0,na,1,1,0,i met my wife at her office.  the first time i saw her there was a chemistry. i knew she was married and in process of a divorce.  i wanted to ask her out but did not want to interfere with her marriage if it was not over.  i decided to act on,9,3,i fell the team should benefit,0,0,31,na,4d077546-7591-11e2-89cc-88532e617cea,1,40,0
,,238,27,1,10,0,3,38,4/25/12 19:32,4/25/12 19:11,7,4,0,5.8,0,5,1261,6,0,70.71.27.248,9,8.6,0,0,0,na,1,1,0,when performing a math test i observed a question that appeared to be unsolvable on inspection. the instructor had previously advised that this test would not contain any 'tricks' but was a basic assessment. i am normally bad for working on que,5,3.9,"40 cents is a known quantity. even if i were not risk averse, the likelihood another would want to go for a certain '40' (ie. keep everything) is greater than everyone contributing.",0,0,64,na,4d0793dc-7591-11e2-89cc-88532e617cea,0,40,0
,,239,33,10,10,40,0,233,4/26/12 22:03,4/26/12 21:36,19,7,1,9.7,1,9,1755,7,2,74.232.7.101,9,7.7,1,0,0,na,1,1,0,"as i was leaving for work one day, the thought occurred to me to me to check my purse for my wallet.  upon checking, i  found my wallet was there. however, my cellphone was on not.  it was on the  kitchen counter.   i went back to the house to",10,2.9,it was the best chance of netting every one the highest amount including myself if every one else made the same decision,0,0,151,na,4d07b790-7591-11e2-89cc-88532e617cea,0,40,2
,,240,22,8,10,10,3,175,4/25/12 10:37,4/25/12 10:22,8,4,1,7.2,0,9,1112,1,0,149.156.124.14,9,9.2,0.25,0,0,na,3,1,0,one day i was feeling really tired when i got up. i told my wife how i felt and that i wasn't going to work that day. she thought i was being silly and wanted me to go anyway. i didn't want to upset her or argue so i dressed up for work and got,9,4.2,"i just enjoy surveys that go in-deep to find out why someone takes one decision, not another. plus i like helping people.",0,0,35,na,4d07d75c-7591-11e2-89cc-88532e617cea,0,40,14
,,241,47,2,10,40,0,232,4/26/12 0:40,4/26/12 0:27,7,4,1,7.9,1,9,1364,8,3,174.71.16.9,11,7.6,1,0,0,na,3,1,0,"i like to frequent casinos.  i typically play slot machines. i always like to play machines that initially catch my eye. it seems like that is a good strategy for me.  i seem to win when i go with my intuition.  if i over analyze, i don't seem",7,3.1,i figured it was the best from myself and the others...hoping they chose the same contribution.,0,0,33,na,4d07f476-7591-11e2-89cc-88532e617cea,1,40,20
,,242,41,10,10,0,0,232,4/28/12 3:20,4/28/12 3:07,8,4,0,6.3,0,6,2056,6,3,174.21.23.206,8,8.7,0,0,0,na,1,1,0,"the earliest time i can remember is when i was walking home from elementary school. as i was walking home from school one day, i felt like something told me to look down on the curb. to my surprise, i found ten dollars. this was the first time",7,2.2,i don't know the other people. i am more likely to contribute to people i know.,0,0,71,na,4d081212-7591-11e2-89cc-88532e617cea,1,40,0
,,243,22,6,10,16,1,232,4/24/12 4:20,4/24/12 4:02,10,5,0,7.6,1,7,608,4,2,64.234.48.48,9,7.9,0.4,0,0,na,3,1,0,.  my group was unsure of the answer which made me unsure.  then i said that we should go with timothy.  the answer was correct.  we won first place that night because i went with my gut.,6,2.9,i thought about the group as a whole and which would be the best for everyone.,0,0,28,na,4d082f68-7591-11e2-89cc-88532e617cea,1,40,0
,,244,40,9,10,20,2,232,4/23/12 23:50,4/23/12 23:38,7,5,1,7.1,1,3,493,3,1,68.112.16.2,13,7.6,0.5,0,0,na,2,1,0,"i lived in alaska and was sharing an apartment with a friend.  he left he home to go to work.  i had planned to stay home and read.  however, about 20 minutes after he left i got a very strong urge to leave the apartment immediately.  it was an",4,2.8,just thought it was the fair amount to contribute and hope it benefits the group,0,0,39,na,4d084b88-7591-11e2-89cc-88532e617cea,1,40,2
,,245,27,1,10,30,0,232,4/26/12 1:21,4/26/12 1:10,18,2,0,8.1,0,7,1384,5,3,74.64.78.156,8,9.8,0.75,0,0,na,2,1,0,to my wife and that didn't result in a good outcome.,7,3,"instinct, it felt like the right number",0,0,60,na,4d086794-7591-11e2-89cc-88532e617cea,1,40,0
,,246,21,9,10,24,3,232,4/26/12 19:21,4/26/12 19:09,14,2,1,5.8,1,7,1711,4,0,164.111.143.153,9,8.8,0.6,0,0,na,2,1,0,"a time that i can recall my instinct leading me in the right direction was deciding to date my current boyfriend. i had heard about him from other people, but i really felt like i should get to know him. even though i was skeptical, something k",4,3.2,"i didn't want to be left without any money at all, but i also did not want to be greedy or stingy in contributing to the group pot.",0,0,41,na,4d0887ce-7591-11e2-89cc-88532e617cea,1,40,40
,,247,33,1,10,20,3,232,4/27/12 15:05,4/27/12 14:56,4,5,0,4.3,0,5,1904,4,0,216.164.50.197,8,7.7,0.5,0,0,na,4,1,0,i freely admit that i don't believe in intuition.  by that i mean that any feelings people have not based on anything other than tangible evidence are merely feelings and have no bearing nor do they predict what might happen.  there was time wh,3,2.7,"i didn't want to walk away empty handed, but i know that some people are likely to be greedy and not give any.",0,0,30,na,4d08a768-7591-11e2-89cc-88532e617cea,1,40,0
,,248,26,2,10,20,0,232,4/26/12 6:25,4/26/12 6:02,11,5,0,9.4,0,7,1491,6,2,24.16.124.175,9,10,0.5,0,0,na,2,1,0,"one time i found a roommate on craigslist. i was nervous about doing the posting at first, since i had never done one before. my friends had seen mixed results as well. i got over 15 hits responding to my post. i interviewed them all and one in",9,4.4,"i figured that most people would put .40 cents in the pot. i wanted to contribute some, but did not feel the need to contribute all.",0,0,54,na,4d08c586-7591-11e2-89cc-88532e617cea,1,40,0
,,249,21,1,10,40,1,232,4/26/12 1:21,4/26/12 1:09,6,4,0,5.4,0,8,1382,1,1,98.210.50.200,10,7.5,1,0,0,na,2,1,0,"one time, i was going to a baseball game for my birthday. i wanted to bring alcohol into the game, but i knew that they wouldn't let me take in alcohol. so i had to come up with a way to sneak the alcohol in. my intuition told me that if i hid",7,3.5,"i chose to contribute 40 cents because if everyone contributes 40 cents, then everyone gets a bonus. even if only 1 other person contributed 40 cents, i'd still get more than i started out with. i believe at least 1 other person would contribut",0,0,81,na,4d08e5e8-7591-11e2-89cc-88532e617cea,1,40,0
,,250,28,10,10,40,1,232,4/24/12 19:22,4/24/12 19:05,13,2,0,8.3,1,9,909,1,2,72.191.212.180,9,7,1,0,0,na,3,1,0,"when i met my husband we were just friends and i had no interest in dating him what so ever.  however my gut kept telling me i should give him a chance.  we talked often and he was very interested in going out with me.  he kept asking me out, b",6,2.7,it felt right.,0,0,136,na,4d0905be-7591-11e2-89cc-88532e617cea,1,40,0
,,251,19,6,10,30,1,232,4/26/12 16:26,4/26/12 16:19,15,4,1,6.4,0,5,1636,1,2,152.17.142.56,9,6.9,0.75,0,0,na,1,1,0,", but i didn't trust it. it was canned, and i had a bad feeling about canned coffee. i instead walked over to the soda rack, and looked at the energy drinks there. my eyes were instantly drawn to the electric blue can of an amp energy drink. i",5,2.8,"i chose to keep 10 cents to ensure that i got a little, but contribute 30 for the overall good.",0,0,43,na,4d092602-7591-11e2-89cc-88532e617cea,1,40,40
,,252,19,4,10,40,1,232,4/25/12 20:59,4/25/12 20:46,4,4,0,7.1,0,5,1288,9,1,131.123.83.140,9,9,1,0,0,na,2,1,0,there was a time where we were fishing.  we were on the water for a few hours.  i saw the weather forecast a few hours before we left the house and rain was supposed to be coming our way sometime that day.  we were catching fish left and right,4,2.8,i just chose it all and hoped everyone did too.,0,0,71,na,4d094740-7591-11e2-89cc-88532e617cea,1,40,0
,,254,19,1,10,38,1,13,4/27/12 3:26,4/27/12 2:56,11,2,0,4.4,1,2,1810,2,1,121.0.1.8,8,9.4,0.95,0,0,na,2,1,0,"i would not say i am a big believer in intuition. i prefer to properly deliberate over things and think them through. so when the time came that i had to choose a 'placement' in a small rural town for my medical degree, i had an offer from my g",3,3.4,"i believe people are inherently good, yet i still chose to give only 38 cents, 2 cents shy of the whole 40. in doing so, i guaranteed myself a (negligible) profit, whilst still trying to benefit others.",0,0,56,na,4d09846c-7591-11e2-89cc-88532e617cea,0,40,0
,,255,20,8,10,40,0,232,4/24/12 13:59,4/24/12 13:48,4,4,1,7.3,1,7,784,1,3,149.169.173.226,8,7.3,1,0,0,na,3,1,0,i was doing an amazing race type thing with my mom as a weekend activity. we were using public transportation to get everywhere. we were heading back to the finish line. i read the directions and figure out we messed up. i thought we should tur,9,4.1,"if i kept .40: i either had .40, had .80 or had 1.00. if i gave 40 or below: i either had",0,0,57,na,4d09a442-7591-11e2-89cc-88532e617cea,1,40,40
,,256,22,8,10,20,1,232,4/27/12 21:13,4/27/12 20:48,6,4,0,6.5,1,7,1997,2,2,99.108.213.122,9,8.1,0.5,0,0,na,3,1,0,"a week later we got our tests back, and i saw that my score was one of the best in the class. it turns out that our teacher had meant to trick us with that problem and gave extra credit to those few of us with enough chutzpah to write the corr",7,3.5,"i wanted to make sure i got at least some bonus, but i also wanted to contribute to the good of the group. it was a cautious contribution.",0,0,95,na,4d09c2c4-7591-11e2-89cc-88532e617cea,1,40,0
,,257,42,4,10,22,0,232,4/28/12 11:41,4/28/12 11:34,9,6,0,7.1,1,6,2100,7,3,76.217.239.32,8,7.1,0.55,0,0,na,3,1,0,"when i met my husband, he was three things i always swore i would never marry, he was a social worker (like me), divorced and had a son. i always believed that i would never marry someone who had any of these qualities.  i thought he was nice a",7,1.9,i thought half sounded fair,0,0,4,na,4d09e8f8-7591-11e2-89cc-88532e617cea,1,40,0
,,258,41,10,10,40,1,231,4/25/12 11:53,4/25/12 11:19,29,4,0,7.9,0,8,1120,6,2,86.8.216.198,9,7.4,1,0,0,na,1,1,0,"when i was driving on london's orbital motorway, the m25, i heard a rattling noise at the back of my vehicle. i continued driving while considering what it could be. the rattling grew louder and my instinct that something was wrong grew stronge",2,2.8,hoped that fellow participants would be as altruistic as me and we'd all benefit.,0,0,89,na,4d0a10e4-7591-11e2-89cc-88532e617cea,0,40,0
,,259,24,6,10,40,1,232,4/23/12 20:49,4/23/12 20:35,5,5,0,7.4,0,7,422,1,2,71.232.180.111,8,9.4,1,0,0,na,1,1,0,as i was applying to jobs right out of highschool i had to find a job. i had to decide whether to move with my friends or take something that would be good for my resume. i ended up taking a position that would be good for my resume because int,11,3.2,because i am hoping if everyone contributes their full amount we can all get 80 cents versus me being selfish and possibly getting a dollar only if everyone else is selfless.,0,0,86,na,4d0a4406-7591-11e2-89cc-88532e617cea,1,40,0
,,260,50,10,10,20,0,232,4/24/12 13:43,4/24/12 13:29,15,5,0,8.6,1,5,781,6,2,74.176.185.120,8,8.799999,0.5,0,0,na,3,1,0,"i was in a lot of debt from tons of medical bills that piled up on me after my appendectomy. my job didn't pay me enough money to cover all these bills. i was desperate, so i seriously considered getting a payday loan to hold me over. i researc",10,2.6,"i thought 20 cents, the middle of 40 cents, was fair and balanced for both me and the group.",0,0,102,na,4d0a7eee-7591-11e2-89cc-88532e617cea,1,40,0
,,261,26,1,10,40,3,232,4/25/12 22:55,4/25/12 22:45,6,4,0,5.1,0,6,1312,4,0,76.121.98.232,9,9.5,1,0,0,na,4,1,0,"in the olympic national park i was attempting a difficult backpacking trip alone.  while the first half of my hike went well, poor weather and a very difficult trail ascension made the rest trying.  because of the weather and the damaged trail",4,3.1,i feel that 40 cents is not too much to risk for the benefit of the group.,0,0,25,na,4d0abd28-7591-11e2-89cc-88532e617cea,1,40,0
,,262,59,7,10,40,0,232,4/25/12 22:29,4/25/12 22:06,9,2,0,6.5,1,8,1300,6,2,72.74.196.18,9,6.9,1,0,0,na,1,1,0,as a new wife and mother i thought marriage was not for me. i called a friend to babysit. i then looked for work. then took a test to find my abilities.my instincts were better. i went into an investment bank to apply for a job. i was offered e,6,2.9,"i'd like to think most people are fair, and willing to get the most without penalizing others.",0,0,179,na,4d0b0238-7591-11e2-89cc-88532e617cea,1,40,0
,,263,31,1,10,10,1,232,4/27/12 18:40,4/27/12 18:30,10,2,0,7.6,1,2,1952,7,2,184.41.105.174,10,8.7,0.25,0,0,na,1,1,0,i once had aob that i was incredibly unhappy in.  it paid very little and the owner of the company was a worthless turd.  another employee had a job interview on avery cold day in february.  he was going to call and cancel.  he hadtold me about,1,3.9,i risked very little so that i would still make a bonus,0,0,51,na,4d0b437e-7591-11e2-89cc-88532e617cea,1,40,0
,,264,31,2,10,40,2,232,4/24/12 3:01,4/24/12 2:48,5,5,0,5.4,1,8,581,9,1,70.116.72.216,8,5.8,1,0,0,na,3,1,0,"while headed home to my empty house late at night, i noticed an unfamiliar vehicle following me. i took a few odd turns, and the car was still behind me. instead of driving home, i called a friend. she waited at her door and let me in as soon a",8,2.4,"i can't spend all my time worrying about what other people do. i have to do what i feel is right, and hope they do the same. in real life, we can see a lot of what other people are doing, which may sway our decisions about what we do (i.e. we m",0,0,55,na,4d0b8316-7591-11e2-89cc-88532e617cea,1,40,0
,,265,44,10,10,40,3,232,4/23/12 23:39,4/23/12 23:22,11,5,0,6.8,1,3,485,5,0,100.3.122.129,12,8.5,1,0,0,na,2,1,0,i was shopping at goodwill and i came across a louis vuitton purse.  i asked the sales lady if the purse was genuine or fake. she said that she was pretty sure it was a fake.  i saw a small leather code inside the purse.  i just had a gut feeli,2,3.1,it seemed the best way to double everyone's money.  i was trying to consider what would be beneficial to all of us.,0,0,80,na,4d0bbd4a-7591-11e2-89cc-88532e617cea,1,40,0
,,266,59,10,10,40,2,232,4/26/12 15:23,4/26/12 15:11,7,2,0,7.6,1,6,1613,1,1,75.171.222.139,8,5.2,1,0,0,na,3,1,0,i had tried my hand at selling newspapers and encyclopedias over the phone and had failed at both. i decided to apply at a place where you called households to see if they had any used items to donate. i got the job and i had a feeling that thi,2,1.4,"it seemed like the fair thing to do. if i decided to keep my money, i would not know if everyone else had decided to do the same thing.",0,0,83,na,4d0bf58a-7591-11e2-89cc-88532e617cea,1,40,0
,,267,32,3,10,26,0,232,4/23/12 18:24,4/23/12 18:11,39,2,0,8,1,4,337,6,3,174.49.218.202,9,5.6,0.65,0,0,na,3,1,0,"when i was a resident assistant in college, i was doing my hourly rounds. i came across a female on a different floor than mine that was crying in the hallway. i sat down with her and she started telling me a story about her and her boyfriend.",7,2.5,i was trying to be fair to the other players while still keeping some for me.,0,0,145,na,4d0c2f1e-7591-11e2-89cc-88532e617cea,1,40,0
,,268,23,8,10,40,0,232,4/25/12 22:55,4/25/12 22:44,22,2,0,7.9,0,3,1309,1,2,74.66.90.191,8,6.2,1,0,0,na,1,1,0,"in my last relationship. something never struck me quite right--the distancing, the lack of communication ect. she lived far away as well, in new jersey. at first, we would see each other a few times per week and things were going good. but as",9,3.7,"i really wasn't sure whether the others would contribute or not. i mean, the group bonus would be nice but i'm just not completely certain if everyone did.",0,0,74,na,4d0c6664-7591-11e2-89cc-88532e617cea,1,40,0
,,269,23,1,10,40,3,38,4/27/12 4:30,4/27/12 4:15,4,5,0,5.3,0,9,1822,5,0,70.26.94.107,8,8.4,1,0,0,na,1,1,0,i once posted a resume on an on-line job website. about a day later i received a call from a company to come in for an interview. immediately i had a bad feeling about the situation. it all seemed a little too good to be true. i went to the int,9,3,"no one deserves an eternity of punishment, and no god that is good would allow that to happen.",0,0,97,na,4d0c9de6-7591-11e2-89cc-88532e617cea,0,40,0
,,270,24,9,10,30,0,232,4/24/12 16:37,4/24/12 16:27,15,2,0,8.2,0,8,846,1,3,184.9.172.168,8,7.5,0.75,0,0,na,1,1,0,my friends and i were out at a bar one night drinking. one of them wanted to drive home after they had been drinking. i had a feeling they would get arrested if they did. we took a cab home and saw that there was a road block that would have,11,3.4,i felt it was the right decision,0,0,53,na,4d0cd3c4-7591-11e2-89cc-88532e617cea,1,40,0
,,271,31,2,10,0,3,232,4/28/12 1:35,4/28/12 1:23,29,5,0,5.7,0,8,2042,6,0,68.45.127.209,8,8.8,0,0,0,na,2,1,0,"my boss offered me an opportunity to head up a new project.  he knew i was looking to get promoted, and he said it would be a good opportunity to do that.  i decided to go for it.  later when i got home i started to worry that it was more respo",3,2.3,"i started to go with the full contribution hoping others would do the same, but the more i thought about it, i felt like other users would be risk averse and contribute nothing, so i'd be better off contributing nothing.",0,0,48,na,4d0d07c2-7591-11e2-89cc-88532e617cea,1,40,0
,,272,26,3,10,40,0,232,4/28/12 4:30,4/28/12 4:12,9,2,1,7,1,7,2066,4,3,67.164.90.239,10,6.9,1,0,0,na,1,1,0,"one time when i was about 10 years old, my brother and i went on a trip to a theme park with our father. my brother and i were waiting in one of the long lines for one of the rides. we were about halfway through the line when the ride broke. th",8,3.6,"i chose to contribute all of my money because i wanted to at lease double it. i was worried if i kept it, others would have kept it as well.",0,0,114,na,4d0d40e8-7591-11e2-89cc-88532e617cea,1,0,40
