name,path,age,caseid,female,highest grade completed,ideology,independents,mii_1,mii_2,miiele1_code1,miiele1_code2,miiele1_code3,miiele1_code4,miiele1_code5,miiele1_code6,miiele1_code7,miiele1_code8,miiele2_code1,miiele2_code2,miiele2_code3,miiele2_code4,miiele2_code5,miiele2_code6,miiele2_code7,miiele2_code8,mip_1,mip_2,mippol1_code1,mippol1_code2,mippol1_code3,mippol1_code4,mippol1_code5,mippol1_code6,mippol1_code7,mippol1_code8,mippol1_substantive1,mippol1_substantive2,mippol1_substantive3,mippol1_substantive4,mippol1_substantive5,mippol1_substantive6,mippol1_substantive7,mippol1_substantive8,mippol2_code1,mippol2_code2,mippol2_code3,mippol2_code4,mippol2_code5,mippol2_code6,mippol2_code7,mippol2_code8,mippol2_substantive1,mippol2_substantive2,mippol2_substantive3,mippol2_substantive4,mippol2_substantive5,mippol2_substantive6,mippol2_substantive7,mippol2_substantive8,pid,pid_strong,pid_summary,txtorg_id
,,69,209,1,16,1,-1,economy,healthcare,50,,,,,,,,24,,,,,,,,economy,terrisom,50,,,,,,,,50,,,,,,,,5,,,,,,,,5,,,,,,,,2,1,6,3e543756-3386-11e3-a3e4-88532e617cea
,,45,210,2,12,2,-1,prop 8,presidetnt,68,,,,,,,,48,,,,,,,,economy,how were gpoing to fix it-meaning the economy,50,,,,,,,,50,,,,,,,,50,,,,,,,,50,,,,,,,,2,1,6,3e54705e-3386-11e3-a3e4-88532e617cea
,,78,211,2,14,2,-1,the economy,safety,50,,,,,,,,7,,,,,,,,economy,terrorists,50,,,,,,,,50,,,,,,,,5,,,,,,,,5,,,,,,,,2,1,6,3e54a8c6-3386-11e3-a3e4-88532e617cea
,,18,213,2,12,2,3,dont know,dont know,95,,,,,,,,95,,,,,,,,i have not  though about it,war,97,,,,,,,,,,,,,,,,4,,,,,,,,4,,,,,,,,5,-1,3,3e551856-3386-11e3-a3e4-88532e617cea
,,43,214,1,16,1,-1,unemployment and economy,change the govt,27,50,,,,,,,49,,,,,,,,"how to solve unemployment, how to bring the economy back",how to bring the military back from iraq and other countries,27,50,,,,,,,27,50,,,,,,,3,7,,,,,,,3,7,,,,,,,1,1,0,3e555500-3386-11e3-a3e4-88532e617cea
,,51,215,1,6,1,-1,"que cumplan todo lo que se hablo en la campana// acerca iigracion economia, sistema monetario",que el gabierno cambie la politica del govierno de bush nos dejo un problema//no,41,48,49,50,55,,,,48,49,96,,,,,,economy  sistema financiero  wall street  politicos gabinete se cambie totalmente por las ideas que tiene  ,"lo que esta en el golfo, que debemos regresar, estam ahi sin ningun interes, bush los puso ahi, y por eso estamos en esa situacion// la gente necesita que la yuden para no pierdan sus casas//no",46,48,50,51,55,,,,50,55,51,48,46,,,,2,7,25,28,48,96,,,2,7,48,25,28,,,,1,1,0,3e558b10-3386-11e3-a3e4-88532e617cea
,,-9,216,2,13,2,-1,enconomy,war,50,,,,,,,,4,,,,,,,,"jobs, economy",don't know,27,50,,,,,,,27,50,,,,,,,95,,,,,,,,,,,,,,,,1,1,0,3e55bbee-3386-11e3-a3e4-88532e617cea
,,32,218,1,13,1,-1,race.,economics>,32,,,,,,,,50,,,,,,,,economics.,race.,50,,,,,,,,50,,,,,,,,32,,,,,,,,32,,,,,,,,1,1,0,3e56048c-3386-11e3-a3e4-88532e617cea
,,48,219,2,13,2,-1,the economy,the loss of jobs,50,,,,,,,,27,,,,,,,,economy,war //iraq,50,,,,,,,,50,,,,,,,,3,4,,,,,,,4,3,,,,,,,1,1,0,3e562b06-3386-11e3-a3e4-88532e617cea
,,18,220,1,12,1,-1,how to  fix the economy,how to give more opportunity to make life better,50,,,,,,,,71,,,,,,,,the economy,laying off people,50,,,,,,,,50,,,,,,,,27,,,,,,,,27,,,,,,,,2,1,6,3e5650e0-3386-11e3-a3e4-88532e617cea
,,42,221,2,14,2,5,jobs and security,health care,5,27,,,,,,,24,,,,,,,,foreign policy,"deficit, bud get, money",13,,,,,,,,13,,,,,,,,38,55,,,,,,,38,55,,,,,,,3,-1,2,3e5675f2-3386-11e3-a3e4-88532e617cea
,,43,222,2,12,2,-1,just to get democrat back in office// no,to see histomy made//,48,96,,,,,,,71,,,,,,,,economy  ,the war//,50,,,,,,,,50,,,,,,,,4,,,,,,,,4,,,,,,,,1,1,0,3e569b72-3386-11e3-a3e4-88532e617cea
,,46,223,2,13,2,-1,economy,healthcare,50,,,,,,,,24,,,,,,,,economy,our military stuff,50,,,,,,,,50,,,,,,,,7,,,,,,,,7,,,,,,,,2,5,5,3e56c11a-3386-11e3-a3e4-88532e617cea
,,36,225,1,13,1,-1,the economy,the wars,50,,,,,,,,4,,,,,,,,the economy,the war,50,,,,,,,,50,,,,,,,,4,,,,,,,,4,,,,,,,,1,1,0,3e570954-3386-11e3-a3e4-88532e617cea
,,44,226,2,12,2,3,helping the middleclass/ finacially//,raising taxes,30,,,,,,,,40,,,,,,,,unemployment,the economy,27,,,,,,,,27,,,,,,,,50,,,,,,,,50,,,,,,,,5,-1,3,3e5731ae-3386-11e3-a3e4-88532e617cea
,,18,228,2,12,2,-1,"propotition 8, gay marrage//",imigration//,68,,,,,,,,41,,,,,,,,economy  ,war,50,,,,,,,,50,,,,,,,,4,,,,,,,,4,,,,,,,,1,5,1,3e57902c-3386-11e3-a3e4-88532e617cea
,,45,229,2,12,2,-1,imigration//,war ended//,41,,,,,,,,4,,,,,,,,war,imigrtion//,4,,,,,,,,4,,,,,,,,41,,,,,,,,41,,,,,,,,1,1,0,3e57ba48-3386-11e3-a3e4-88532e617cea
,,-9,230,2,13,2,-1,"the president, i wanted to know that the person would be the one i chose",economy,49,,,,,,,,50,,,,,,,,we have the wrong people elected in politics,banks-not regulated,48,,,,,,,,48,,,,,,,,55,,,,,,,,55,,,,,,,,1,5,1,3e57f5b2-3386-11e3-a3e4-88532e617cea
,,32,231,2,12,2,3,the president//no,the up ad donw of the taxes//,48,96,,,,,,,40,,,,,,,,the  money  no,the war//no,55,96,,,,,,,55,,,,,,,,4,96,,,,,,,4,,,,,,,,4,-1,3,3e582b90-3386-11e3-a3e4-88532e617cea
,,57,232,1,14,1,-1,security//ni,finalcial//,7,,,,,,,,50,,,,,,,,financial currently  ,security// deal with the war//,50,,,,,,,,50,,,,,,,,4,5,,,,,,,5,4,,,,,,,1,1,0,3e586ccc-3386-11e3-a3e4-88532e617cea
,,44,233,-4,12,-4,-1,economy,war,50,,,,,,,,4,,,,,,,,we want to be in everyone's  business,terrorism,71,,,,,,,,71,,,,,,,,5,,,,,,,,5,,,,,,,,1,1,0,3e5898fa-3386-11e3-a3e4-88532e617cea
,,73,234,1,7,1,-1,election of obama,hillary being secretary of state,48,,,,,,,,48,,,,,,,,afghanistan,iraq,2,,,,,,,,2,,,,,,,,3,,,,,,,,3,,,,,,,,1,1,0,3e58c6b8-3386-11e3-a3e4-88532e617cea
,,50,236,1,16,1,1,the economy,the war in iraq,50,,,,,,,,3,,,,,,,,the economy,foreign policy,50,,,,,,,,50,,,,,,,,13,,,,,,,,13,,,,,,,,3,-1,4,3e5918fc-3386-11e3-a3e4-88532e617cea
,,76,237,1,13,1,-1,immigration,abortion,41,,,,,,,,61,,,,,,,,"getting a good congress that does something  no, they need to go to work and stop bickering and throw out nancy pelosi  no",abortion,48,96,,,,,,,48,,,,,,,,61,,,,,,,,61,,,,,,,,2,1,6,3e59407a-3386-11e3-a3e4-88532e617cea
,,42,238,2,16,2,5,healthcareh,"the vote about gay marriage, kinda disappointing(here in ca)",24,,,,,,,,68,71,97,,,,,,"economic, but healthcare is going to hit us hard in the next 10-15 years",healthcare,24,50,,,,,,,50,24,,,,,,,24,,,,,,,,24,,,,,,,,3,-1,2,3e597040-3386-11e3-a3e4-88532e617cea
,,66,239,2,14,2,-1,probably the security,economics,5,,,,,,,,50,,,,,,,,foreign affairs,illegal inmigration,13,,,,,,,,13,,,,,,,,41,,,,,,,,41,,,,,,,,2,1,6,3e599e62-3386-11e3-a3e4-88532e617cea
,,64,240,2,14,2,-1,the economy,jobs,50,,,,,,,,27,,,,,,,,terro9sim,the economy,5,,,,,,,,5,,,,,,,,50,,,,,,,,50,,,,,,,,1,1,0,3e59c838-3386-11e3-a3e4-88532e617cea
,,20,241,2,13,2,5,proposition 8,the prsident to be elected,68,,,,,,,,48,,,,,,,,the economy,having to do with the military// like the war,50,,,,,,,,50,,,,,,,,4,7,,,,,,,7,4,,,,,,,5,-1,2,3e59ee76-3386-11e3-a3e4-88532e617cea
,,45,242,1,12,1,-1,probably moral issue of abortion,character of the candidates,61,,,,,,,,49,,,,,,,,welfare system   socialsecurity,the economy,25,29,,,,,,,25,29,,,,,,,50,,,,,,,,50,,,,,,,,2,1,6,3e5a1626-3386-11e3-a3e4-88532e617cea
,,69,243,1,17,1,-1,tax policy//being retiree and pay tax on social security and capital gains// taxing 401k has been mentioned,national security,29,30,40,,,,,,5,,,,,,,,the economy,immigration//illegal,50,,,,,,,,50,,,,,,,,41,,,,,,,,41,,,,,,,,2,1,6,3e5a411e-3386-11e3-a3e4-88532e617cea
,,55,245,1,14,1,-1,war in th middle east,economy,2,,,,,,,,50,,,,,,,,the economy,housing market,50,,,,,,,,50,,,,,,,,28,,,,,,,,28,,,,,,,,2,5,5,3e5a997a-3386-11e3-a3e4-88532e617cea
,,27,246,1,16,1,1,for who would be the next president,health care,49,,,,,,,,24,,,,,,,,world relations and getting along with them,the economy and how it fell apart,13,,,,,,,,13,,,,,,,,50,,,,,,,,50,,,,,,,,3,-1,4,3e5ac29c-3386-11e3-a3e4-88532e617cea
,,49,247,2,15,2,-1,terroism,the economy,5,,,,,,,,50,,,,,,,,money being spent,bail out.  the economy,55,,,,,,,,55,,,,,,,,50,55,,,,,,,55,50,,,,,,,2,5,5,3e5aecfe-3386-11e3-a3e4-88532e617cea
,,47,248,1,17,1,3,hope// we ned to restore our ability to afffect positive change in the world,history// to mark our part in history setting a new direction and setting aand setting aside discriminations,71,,,,,,,,32,71,,,,,,,the energy problem,the ecvonony,14,,,,,,,,14,,,,,,,,50,,,,,,,,50,,,,,,,,3,-1,3,3e5b17c4-3386-11e3-a3e4-88532e617cea
,,90,249,-4,8,-4,-1,our country could go along like it is.  freedom was most important,freedom of relligion,71,,,,,,,,64,,,,,,,,everything is going down  jobs for americans,immigration,27,,,,,,,,27,,,,,,,,41,,,,,,,,41,,,,,,,,2,5,5,3e5b4334-3386-11e3-a3e4-88532e617cea
,,43,250,1,12,1,-1,the economy,the military// the wars// completing the war,50,,,,,,,,4,7,,,,,,,the economy   american people back on their feet   getting the economy moving,dealing with the war,50,55,,,,,,,50,55,,,,,,,4,,,,,,,,4,,,,,,,,2,5,5,3e5b6eb8-3386-11e3-a3e4-88532e617cea
,,34,252,2,13,2,-1,our economy,taxes,50,,,,,,,,40,,,,,,,,our economy,budget cuts,50,,,,,,,,50,,,,,,,,38,,,,,,,,38,,,,,,,,1,5,1,3e5bc1ec-3386-11e3-a3e4-88532e617cea
,,54,253,1,13,1,-1,taxes,abortion,40,,,,,,,,61,,,,,,,,debt,forgein affairs,38,,,,,,,,38,,,,,,,,13,,,,,,,,13,,,,,,,,2,1,6,3e5be94c-3386-11e3-a3e4-88532e617cea
,,48,254,1,13,1,-1,economy,war,50,,,,,,,,4,,,,,,,,crooks in 0ffice,crooks,43,,,,,,,,43,,,,,,,,71,,,,,,,,71,,,,,,,,1,1,0,3e5c0fc6-3386-11e3-a3e4-88532e617cea
,,75,255,2,12,2,-1,right now the economy,our national security,50,,,,,,,,5,,,,,,,,getting everyone in government to work together for the good of the people,reducing the debt,47,71,,,,,,,47,71,,,,,,,38,,,,,,,,38,,,,,,,,2,1,6,3e5c3b9a-3386-11e3-a3e4-88532e617cea
,,34,256,2,14,2,3,"the person who was elected, who was going to be elected i mean",the economy and the stock market,49,,,,,,,,50,51,,,,,,,the economy,social security,50,,,,,,,,50,,,,,,,,29,,,,,,,,29,,,,,,,,5,-1,3,3e5c68e0-3386-11e3-a3e4-88532e617cea
,,27,257,2,17,2,-1,"civic duty, citizenry",foreign policy,71,,,,,,,,13,,,,,,,,the economy,foreign policy,50,,,,,,,,50,,,,,,,,13,,,,,,,,13,,,,,,,,1,1,0,3e5c93b0-3386-11e3-a3e4-88532e617cea
,,55,258,1,12,1,-1,"unemployment, to creat more jobe, things are closing down","the war, taking our troops out of iraq, i favor that",27,71,,,,,,,3,4,7,97,,,,,"all of our foreign affairs as far as the equal rights such as israel, afghanistan, etc and we are not promoting the equal rights enough","medical issues, we should have medical for everybody",2,13,37,,,,,,13,2,37,,,,,,24,,,,,,,,24,,,,,,,,1,1,0,3e5cbbba-3386-11e3-a3e4-88532e617cea
,,31,259,2,13,2,-1,<dk>,<dk>,95,,,,,,,,95,,,,,,,,financial crisis,the war,50,,,,,,,,50,,,,,,,,4,,,,,,,,4,,,,,,,,1,5,1,3e5cfba2-3386-11e3-a3e4-88532e617cea
,,50,260,1,12,1,1,"i would say the issues whats going on right now, how som epeople are treatin g him  because he is part balck and because of his name","whats going on overseas, whats happening with the men in the war, whats going on in the middle east, mea nin g the war",32,48,71,97,,,,,2,4,13,,,,,,our economy,unemployment,50,,,,,,,,50,,,,,,,,27,,,,,,,,27,,,,,,,,3,-1,4,3e5d2faa-3386-11e3-a3e4-88532e617cea
,,33,261,2,14,2,1,the economy,unemployment,50,,,,,,,,27,,,,,,,,the economy,unemployment,50,,,,,,,,50,,,,,,,,27,,,,,,,,27,,,,,,,,3,-1,4,3e5d5a02-3386-11e3-a3e4-88532e617cea
,,43,263,1,12,1,-1,the economy,employment,50,,,,,,,,27,,,,,,,,the economy,poor people,50,,,,,,,,50,,,,,,,,26,,,,,,,,26,,,,,,,,1,5,1,3e5d8aae-3386-11e3-a3e4-88532e617cea
,,40,264,2,12,2,3,"the most important issue to me is probably the gay and lesbian thing, prop 8","proposition that says animals should have more room to run around, food animals",68,,,,,,,,71,,,,,,,,the economy,having a black president,50,,,,,,,,50,,,,,,,,48,,,,,,,,48,,,,,,,,-8,-1,3,3e5db600-3386-11e3-a3e4-88532e617cea
,,57,265,1,14,1,-1,"supporting the military, give them everything they need to do their job, bring them home and have them taqlke care of home, borders","the economy, get it back under control, quit exporting work",7,41,,,,,,,10,50,,,,,,,the economy,immigration,50,,,,,,,,50,,,,,,,,41,,,,,,,,41,,,,,,,,2,5,5,3e5ddf40-3386-11e3-a3e4-88532e617cea
,,54,266,1,12,1,5,"trying to get jobs, employment",economy,27,,,,,,,,50,,,,,,,,"getting out of the depression stage, people losing their houses",the war,28,50,,,,,,,50,28,,,,,,,4,,,,,,,,4,,,,,,,,3,-1,2,3e5e095c-3386-11e3-a3e4-88532e617cea
,,42,267,2,12,2,1,for everybodys well being for the economy to be betterand that people are safe and we have our economy changed,having a govt who will help us have opportunities,7,50,,,,,,,49,,,,,,,,the economy,terrorism,50,,,,,,,,50,,,,,,,,5,,,,,,,,5,,,,,,,,3,-1,4,3e5e381e-3386-11e3-a3e4-88532e617cea
,,57,268,2,10,2,5,"the presidency, i think we need someone to stop the war and the depression. i think bush said we would only be there for a year. they have been sent back again and again. i want the new president to end the war and help the unemployment and create new job","the war and the economy, the war is second",4,10,27,48,55,97,,,4,,,,,,,,the war,the economy,4,,,,,,,,4,,,,,,,,50,,,,,,,,50,,,,,,,,3,-1,2,3e5e6078-3386-11e3-a3e4-88532e617cea
,,68,270,2,12,2,-1,not getting palin in there was the most important,having obama elected,48,,,,,,,,48,,,,,,,,the economy,"peace, world peace",50,,,,,,,,50,,,,,,,,7,,,,,,,,7,,,,,,,,1,5,1,3e5eac5e-3386-11e3-a3e4-88532e617cea
,,30,271,1,12,1,5,the war in iraq,alternative energy,3,,,,,,,,14,,,,,,,,economic crisis,the war in iraq,50,,,,,,,,50,,,,,,,,3,,,,,,,,3,,,,,,,,4,-1,2,3e5ed3dc-3386-11e3-a3e4-88532e617cea
,,53,272,2,16,2,-1,"mccain supporters drove me crazy-i wish they would shut up & not talk 2 me abt mcain,also the yes on 8 people drove me crazy,my catholic church priest & friends wanted me 2 picket on street corners & sign promise statements. i was furious. the economy-my ",end the iraq war,27,28,48,50,51,97,,,3,,,,,,,,"the economy, the war","environment,global warming",4,50,,,,,,,50,4,,,,,,,17,18,,,,,,,18,17,,,,,,,1,5,1,3e5efb1e-3386-11e3-a3e4-88532e617cea
,,-9,273,1,-9,1,3,economy,energy prices,50,,,,,,,,15,,,,,,,,"energy issues, prices",<dk>,14,15,,,,,,,14,15,,,,,,,95,,,,,,,,,,,,,,,,3,-1,3,3e5f2314-3386-11e3-a3e4-88532e617cea
,,29,274,2,16,2,-1,foreign policy,the economy,13,,,,,,,,50,,,,,,,,the war in iraq,the economy,3,,,,,,,,3,,,,,,,,50,,,,,,,,50,,,,,,,,1,1,0,3e5f4c9a-3386-11e3-a3e4-88532e617cea
,,39,275,2,15,2,-1,election of the president,ca prop 8  same sex marriage ban,49,,,,,,,,68,,,,,,,,economy,the wars in iraq and afghanistan,50,,,,,,,,50,,,,,,,,2,3,,,,,,,3,2,,,,,,,1,5,1,3e5f7396-3386-11e3-a3e4-88532e617cea
,,54,276,1,12,1,-1,health care//somehow we have got to get a handle on the costa and the availability// i wanted a candidate who could actually understand these questions. they are very complex//and who might have a workable outline to solv //no e it,the economy//i wanted someone who would be honest about what we face and how he planned to deal with it//i didn't need anyone to lie to me in order to get elected then reneg on his promises after he got my vote//no,24,48,97,,,,,,45,48,49,50,96,97,,,healthcare,the economy//it's very complicated but the first thing we have to do is stop the job losses. a stimulus package that does that is correct//no,24,,,,,,,,24,,,,,,,,27,50,55,71,96,,,,50,71,27,55,,,,,1,1,0,3e5f9b82-3386-11e3-a3e4-88532e617cea
,,23,277,1,16,1,5,the economy,wars,50,,,,,,,,4,,,,,,,,the economy,wars,50,,,,,,,,50,,,,,,,,4,,,,,,,,4,,,,,,,,3,-1,2,3e5fc666-3386-11e3-a3e4-88532e617cea
,,35,278,1,11,1,5,cost of living,correcting the california budget,54,,,,,,,,38,,,,,,,,hunger issues,war  that's going on now in iraq,26,,,,,,,,26,,,,,,,,3,,,,,,,,3,,,,,,,,3,-1,2,3e5ff488-3386-11e3-a3e4-88532e617cea
,,51,279,1,16,1,-1,that someone get elected whose views i generally agree with,the next [president would bring more truth and justice in the american government,49,97,,,,,,,45,48,,,,,,,the wars we are in  and how we are going to get out of the wars  no,the economy//no,4,96,,,,,,,4,,,,,,,,50,96,,,,,,,50,,,,,,,,1,5,1,3e6022be-3386-11e3-a3e4-88532e617cea
,,20,280,1,12,1,5,the economy,everybody losing their jobs,50,,,,,,,,27,,,,,,,,the war iraq,the economy,3,,,,,,,,3,,,,,,,,50,,,,,,,,50,,,,,,,,3,-1,2,3e605324-3386-11e3-a3e4-88532e617cea
,,54,281,2,17,2,-1,student loan debt,world peace,21,,,,,,,,7,,,,,,,,our financial crisis,world terrorism,50,,,,,,,,50,,,,,,,,5,,,,,,,,5,,,,,,,,1,1,0,3e607ec6-3386-11e3-a3e4-88532e617cea
,,35,282,1,16,1,-1,gay rights,thye economy,68,,,,,,,,50,,,,,,,,the economy,world affairs national security,50,,,,,,,,50,,,,,,,,5,13,,,,,,,13,5,,,,,,,1,1,0,3e60a6ee-3386-11e3-a3e4-88532e617cea
,,80,283,1,15,1,3,protecting our nature and wildlife,protecting social security and medicare,18,,,,,,,,23,29,,,,,,,to become a democratic republic again,international relations,49,,,,,,,,49,,,,,,,,13,,,,,,,,13,,,,,,,,3,-1,3,3e60cf84-3386-11e3-a3e4-88532e617cea
,,31,284,2,16,2,-1,economy,health care,50,,,,,,,,24,,,,,,,,economy,<dk>,50,,,,,,,,50,,,,,,,,95,,,,,,,,,,,,,,,,1,1,0,3e60faea-3386-11e3-a3e4-88532e617cea
,,37,286,1,16,1,-1,"change - no republican in the white house, our first black president",that might rights as a human as a gay man should be equal homosexual heterosexual unisexual should be equal,48,71,,,,,,,68,,,,,,,,economy,housing,50,,,,,,,,50,,,,,,,,28,,,,,,,,28,,,,,,,,1,1,0,3e614a5e-3386-11e3-a3e4-88532e617cea
,,49,287,1,17,1,-1,proposition 8 ca,change of direction of the government and of the tone of government,68,,,,,,,,49,,,,,,,,national deficit,discrimination,38,,,,,,,,38,,,,,,,,37,,,,,,,,37,,,,,,,,1,1,0,3e617056-3386-11e3-a3e4-88532e617cea
,,38,288,2,16,2,-1,economy,environment,50,,,,,,,,18,,,,,,,,foreign affairs,the economy,13,,,,,,,,13,,,,,,,,50,,,,,,,,50,,,,,,,,1,5,1,3e6197ca-3386-11e3-a3e4-88532e617cea
,,32,289,1,16,1,5,health care//the diffrential access to healthcare is not just an economic catastrophe but also fundamentally undermines our putative committment to equality//no,iraq//wars of choice are stupid//bush and cheney should stand trial for war crimes in the hague//no,24,37,50,71,96,,,,3,4,48,49,96,,,,healthcare,iraq,24,,,,,,,,24,,,,,,,,3,,,,,,,,3,,,,,,,,5,-1,2,3e61c1be-3386-11e3-a3e4-88532e617cea
,,60,291,1,17,1,3,the war in iraq,the economics,3,,,,,,,,50,,,,,,,,economic,jobs,50,,,,,,,,50,,,,,,,,27,,,,,,,,27,,,,,,,,3,-1,3,3e620f84-3386-11e3-a3e4-88532e617cea
,,30,292,2,13,2,-1,the economic crisis as far as the financial situation goes,education// we have the worst educational system in the world,50,,,,,,,,21,,,,,,,,respondent changed her mind and wants to list the federal deficit as the most important problem,the war iraq,38,,,,,,,,38,,,,,,,,3,,,,,,,,3,,,,,,,,1,5,1,3e6239aa-3386-11e3-a3e4-88532e617cea
,,31,293,2,12,2,5,war in iraq,economy,3,,,,,,,,50,,,,,,,,respondent changed her mind and wants to list economic meltdown as most important problem,war in iraq,50,,,,,,,,50,,,,,,,,3,,,,,,,,3,,,,,,,,3,-1,2,3e626c4a-3386-11e3-a3e4-88532e617cea
,,24,294,2,16,2,-1,health care,education,24,,,,,,,,21,,,,,,,,iraq war and middle east situation,the economy,2,3,,,,,,,3,2,,,,,,,50,,,,,,,,50,,,,,,,,1,5,1,3e62a91c-3386-11e3-a3e4-88532e617cea
,,47,296,2,14,2,-1,the will for a black man to be president// no,hopefully that he can help the lower class working people// and the war// medical//the economy//no,48,96,,,,,,,4,24,30,50,96,,,,unemployment and recession   and the war   no,medical not enough medical coverage// no,4,27,53,96,,,,,27,53,4,,,,,,24,96,,,,,,,24,,,,,,,,1,5,1,3e6306be-3386-11e3-a3e4-88532e617cea
,,23,298,2,14,2,1,the president// prop 8//,prop 8//,48,68,,,,,,,68,,,,,,,,i donotknow,i don't know,95,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,3,-1,4,3e636dc0-3386-11e3-a3e4-88532e617cea
,,42,299,1,12,1,-1,the economy// no,the war// no,50,96,,,,,,,4,96,,,,,,,the war  is the most right   no,the way the look at other countries//no,4,96,,,,,,,4,,,,,,,,13,96,,,,,,,13,,,,,,,,1,5,1,3e63a33a-3386-11e3-a3e4-88532e617cea
,,46,300,1,12,1,3,i can say it is the change i think the republicans are going to run it no matter that we have democratic in office// no,"i feel that the young generation came out to vote of color and nationalities, was a blessing that came out to vote.",48,49,71,96,97,,,,71,97,,,,,,,"homeless, jobless, child care, schools insurance for the elderly",faith in god having more people to raise the younger brothers and sisters here in the us and how to live with the people and get along// no,21,26,27,62,,,,,26,27,62,21,,,,,64,71,96,,,,,,64,71,,,,,,,3,-1,3,3e63d26a-3386-11e3-a3e4-88532e617cea
,,23,301,2,16,2,-1,gay marriage// no,animal rights// no,68,96,,,,,,,71,96,,,,,,,the economic crisis   no,nothing,50,96,,,,,,,50,,,,,,,,95,,,,,,,,,,,,,,,,2,5,5,3e640708-3386-11e3-a3e4-88532e617cea
,,-9,302,2,17,2,1,"the jobs, unemployment// educations//housing// no",mainly jobs really/,21,27,28,96,,,,,27,,,,,,,,"the economy   trust people trusting each other  and helping each other   respecting each other there is too much ethnic discrimination, fair job employment.   i think it's time for the soldiers to come home.   other countries need to learn to help themselves",jobs and housing,7,13,27,32,41,71,96,97,71,32,27,7,13,41,,,27,28,,,,,,,27,28,,,,,,,3,-1,4,3e643462-3386-11e3-a3e4-88532e617cea
,,23,303,2,14,2,5,the economy//health care//taxes//no,jobs// banking industry// no,24,40,50,96,,,,,27,55,96,,,,,,the economy   lack of jobs   no,taxes deficit// no,27,50,96,,,,,,50,27,,,,,,,38,40,96,,,,,,40,38,,,,,,,3,-1,2,3e647512-3386-11e3-a3e4-88532e617cea
,,19,304,2,12,2,-1,if the president is going to do his job right// that he stops the war// no,that they eliminated that they took away the rights of gays getting married// animals can extend there limbs now// no,4,48,96,,,,,,68,71,96,,,,,,that our economy is going to continue to go down   no,there are so many someone might shoot the president// no,50,96,,,,,,,50,,,,,,,,49,71,,,,,,,71,49,,,,,,,1,5,1,3e64a08c-3386-11e3-a3e4-88532e617cea
,,48,305,2,13,2,-1,"the ecomony // abortions,business in the us and unemployment// women being president in the united states , not have trust in them to be president in the us, gay marriages.// no",i gave you alot// no,27,48,49,50,55,61,68,96,96,97,,,,,,,disagreeing with one another   no,the military// no,71,96,,,,,,,71,,,,,,,,7,96,,,,,,,7,,,,,,,,1,5,1,3e64cf8a-3386-11e3-a3e4-88532e617cea
,,46,306,2,16,2,-1,"the economy keeping my job// and medical insurance for all, for the family, kids// no",that the president does not get killed// keeping my job// no,24,27,50,96,,,,,27,48,96,,,,,,the economy foreclosures    no,"the schools they are funding por pennitentary, they are building too much, they should use it towards the schools// no",28,50,96,,,,,,50,28,,,,,,,20,21,71,96,,,,,20,21,71,,,,,,1,1,0,3e64fad2-3386-11e3-a3e4-88532e617cea
,,26,307,2,13,2,5,prop 8// education// no,health care//no,21,68,96,,,,,,24,96,,,,,,,the economy   no,education//no,50,96,,,,,,,50,,,,,,,,21,96,,,,,,,21,,,,,,,,3,-1,2,3e652566-3386-11e3-a3e4-88532e617cea
,,40,308,2,10,2,-8,i don't know him,"the job, economy, the environment.// no",97,,,,,,,,18,27,50,96,,,,,donotknow i donotknow,i don't know,95,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,-8,-1,-1,3e654e2e-3386-11e3-a3e4-88532e617cea
,,21,309,1,12,1,5,"i don't know// they both had similar things, i think the most important is change, mccain was going to be the same, and with obama it is something new",that was pretty much it what i said before.,48,71,95,97,,,,,95,97,,,,,,,"i donotknow  probably iraq,   i donotknow",probably the deficit// it needs to start increasing than decreasing it is going to be a big problem eventually if it doesn't,3,95,,,,,,,3,,,,,,,,38,,,,,,,,38,,,,,,,,3,-1,2,3e657822-3386-11e3-a3e4-88532e617cea
,,31,310,2,17,2,-1,"the prop 8 the tradition marriage thing, that they are trying to turn over again// that was the main one.",making abortion legal// no,68,71,,,,,,,61,96,,,,,,,the money issue the bail out problem wall street   no,i don't know the war// no,51,55,96,,,,,,55,51,,,,,,,4,95,,,,,,,4,,,,,,,,2,1,6,3e65a13a-3386-11e3-a3e4-88532e617cea
,,26,311,2,13,2,-1,abortion// and prop 8 in california// no,the proposition of girls under a certain age to tell there parents about abortion.// no,61,68,96,,,,,,61,96,,,,,,,the economy   and energy   no,are security// no,16,50,96,,,,,,50,16,,,,,,,5,96,,,,,,,5,,,,,,,,1,1,0,3e65cf5c-3386-11e3-a3e4-88532e617cea
,,26,313,2,17,2,-1,the ecomony// the war// no,"education is really on the backburner right now, funding for the schools// no",4,50,96,,,,,,20,21,96,,,,,,i donotknow,i don't know,95,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,1,1,0,3e662a4c-3386-11e3-a3e4-88532e617cea
,,25,315,2,16,2,-1,proposition 8//,presidential// no,68,,,,,,,,49,96,,,,,,,the economy   no,decrease in family values// no,50,96,,,,,,,50,,,,,,,,66,96,,,,,,,66,,,,,,,,2,1,6,3e667f60-3386-11e3-a3e4-88532e617cea
